Rk;Team;Age;W;L;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;OffeFG%;OffTOV%;OffORB%;OffFT/FGA;DefeFG%;DefTOV%;DefDRB%;DefFT/FGA;Attend./G;Rounds;ANBAT;ANBADT;AS
1;Philadelphia 76ers*;26.7;65;17;60;22;7.67;-0.14;7.53;108.3;100.9;7.4;102.7;0.367;0.015;0.549;0.501;16.3;37.1;0.273;0.464;15.8;66.2;0.217;15,351;CHAMPS;2;3;4
2;Los Angeles Lakers*;26.9;58;24;55;27;5.55;-0.49;5.06;110.5;105.2;5.3;103.8;0.27;0.013;0.561;0.528;15.9;36.3;0.199;0.494;15.5;65.3;0.191;14,603;FINALS;2;1;3
3;Boston Celtics*;27.3;56;26;55;27;5.35;-0.01;5.34;106.9;101.8;5.1;104;0.311;0.025;0.536;0.494;15.2;34.7;0.229;0.473;16;68.1;0.236;15,320;ECSF;1;2;2
4;Phoenix Suns*;26.6;53;29;54;28;5.06;-0.45;4.61;105.1;100.1;5;101.6;0.306;0.022;0.54;0.499;16;32;0.227;0.458;15.9;67.5;0.235;11,356;WCFR;0;1;1
5;San Antonio Spurs*;27.2;53;29;50;32;3.66;-0.56;3.1;110.1;106.6;3.5;103.3;0.336;0.042;0.556;0.51;15.1;35.3;0.257;0.489;14.4;69.1;0.228;9,265;WCF;1;0;2
6;Milwaukee Bucks*;28.1;51;31;53;29;4.4;-0.08;4.32;105.8;101.4;4.4;100;0.322;0.024;0.537;0.491;15.1;31.8;0.243;0.459;15.5;65.5;0.228;10,380;ECF;1;1;2
7;New Jersey Nets*;25.2;49;33;49;33;2.77;0.01;2.77;101.6;98.9;2.7;104;0.322;0.021;0.532;0.494;18.7;36.8;0.227;0.481;18.9;68.8;0.251;12,946;ECFR;1;0;1
8;Seattle SuperSonics*;27.4;48;34;49;33;3.21;-0.33;2.88;105.9;102.8;3.1;103.2;0.338;0.019;0.539;0.496;15.5;32.5;0.247;0.464;14.3;66.2;0.21;;WCFR;0;0;3
9;Portland Trail Blazers*;25.5;46;36;47;35;2.13;-0.25;1.88;106;103.9;2.1;101;0.353;0.021;0.535;0.488;15.4;33.3;0.26;0.49;16;67.9;0.218;11,786;WCSF;0;0;1
10;Denver Nuggets*;27.2;45;37;42;40;0.62;-0.36;0.27;109.7;109.1;0.6;112.1;0.337;0.016;0.55;0.495;14;31;0.272;0.509;15.1;64.8;0.22;11,982;WCSF;1;1;2
11;Kansas City Kings;24.5;45;37;45;37;1.45;-0.41;1.04;106.2;104.9;1.3;106.6;0.338;0.029;0.542;0.5;16.4;34.3;0.246;0.49;16.8;65.8;0.291;7,772;NP;0;0;0
12;New York Knicks*;26.5;44;38;48;34;2.45;0.13;2.58;102.4;99.9;2.5;97;0.336;0.019;0.526;0.484;16.2;31.6;0.239;0.478;18.1;67.8;0.257;10,703;ECSF;0;0;0
13;Atlanta Hawks*;26.6;43;39;38;44;-0.95;0.23;-0.72;102.2;103.2;-1;98.9;0.295;0.026;0.516;0.472;15;30.7;0.222;0.473;15.2;65.1;0.223;7,125;ECFR;0;2;0
14;Washington Bullets;25.8;42;40;41;41;-0.13;0.33;0.2;99.1;99.3;-0.2;99.4;0.292;0.034;0.511;0.473;16.6;30.4;0.206;0.471;16.2;68.6;0.214;8,983;NP;0;0;0
15;Dallas Mavericks;24.2;38;44;40;42;-0.41;-0.29;-0.7;109.4;109.8;-0.4;102.8;0.326;0.025;0.535;0.489;13.5;34.8;0.245;0.506;14;66.2;0.228;11,882;NP;0;0;0
16;Detroit Pistons;24.6;37;45;40;42;-0.4;0.24;-0.17;105.4;105.8;-0.4;105.8;0.34;0.036;0.529;0.481;15.1;33.6;0.253;0.496;15.4;66.2;0.214;11,770;NP;1;0;2
17;Golden State Warriors;24.7;30;52;32;50;-3.62;0.14;-3.48;103.9;107.4;-3.5;104;0.293;0.02;0.526;0.485;15.9;33.9;0.216;0.513;16.9;64.6;0.241;8,326;NP;0;0;0
18;Utah Jazz;25.8;30;52;30;52;-4.2;-0.03;-4.22;101.2;105.1;-3.9;107.3;0.332;0.025;0.531;0.483;16.7;29;0.251;0.481;15.2;63.9;0.208;8,664;NP;0;0;0
19;Chicago Bulls;24.5;28;54;29;53;-4.89;0.48;-4.41;103.4;108;-4.6;106.1;0.365;0.028;0.532;0.483;16.9;34;0.269;0.498;14.3;67.9;0.237;7,230;NP;0;0;1
20;San Diego Clippers;24.8;25;57;29;53;-4.83;0.22;-4.61;104.7;109.3;-4.6;103;0.288;0.034;0.518;0.479;15.7;37.1;0.208;0.531;17.6;65.8;0.284;4,778;NP;0;0;0
21;Cleveland Cavaliers;26.4;23;59;22;60;-7.44;0.66;-6.78;99.2;106.8;-7.6;97.6;0.283;0.017;0.506;0.467;16.4;33;0.204;0.492;13.8;71.3;0.258;3,916;NP;0;0;0
22;Indiana Pacers;24.9;20;62;27;55;-5.85;0.49;-5.36;103.8;109.4;-5.6;103.9;0.247;0.031;0.52;0.483;15.2;33.6;0.187;0.52;16.4;65.5;0.249;4,601;NP;0;0;0
23;Houston Rockets;29;14;68;14;68;-11.6;0.48;-11.12;97;108.3;-11.3;102.2;0.26;0.036;0.491;0.453;15.9;30.8;0.188;0.505;15.4;65.4;0.246;7,105;NP;0;0;0
