Rk;Team;Age;W;L;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;OffeFG%;OffTOV%;OffORB%;OffFT/FGA;DefeFG%;DefTOV%;DefDRB%;DefFT/FGA;Attend./G;Rounds;ANBAT;ANBADT;AS
1;Seattle SuperSonics*;28.1;63;19;64;18;9.09;-0.41;8.68;111.1;101.5;9.6;95.1;0.344;0.105;0.547;0.501;13.7;34.4;0.256;0.479;18.2;67.3;0.272;14,668;WCFR;1;2;2
2;Houston Rockets*;28.1;58;24;53;29;4.32;-0.12;4.19;105.9;101.4;4.5;95;0.294;0.191;0.545;0.507;15;27.6;0.218;0.458;13.3;69.7;0.192;15,005;CHAMPS;1;1;1
3;Atlanta Hawks*;28.7;57;25;56;26;5.27;-0.33;4.94;107.2;101.7;5.5;94.2;0.294;0.118;0.523;0.48;13.6;34.6;0.221;0.475;16;67.7;0.185;13,338;ECSF;0;1;2
4;New York Knicks*;28.9;57;25;60;22;6.99;-0.5;6.48;105.7;98.2;7.5;92.8;0.311;0.135;0.527;0.483;15.1;34.4;0.232;0.451;16;71.4;0.261;19,763;FINALS;0;1;3
5;Phoenix Suns*;28.7;56;26;54;28;4.84;-0.17;4.68;111.7;106.8;4.9;96.7;0.325;0.147;0.548;0.509;13.9;35.2;0.236;0.493;13.5;69.3;0.202;19,023;WCSF;2;0;2
6;San Antonio Spurs*;29;55;27;56;26;5.26;-0.21;5.05;110.4;104.6;5.8;90.1;0.322;0.107;0.537;0.494;13.6;35.6;0.239;0.467;11.7;70.5;0.196;22,053;WCFR;1;1;1
7;Chicago Bulls*;27.7;55;27;50;32;3.09;-0.22;2.87;106.1;102.7;3.4;91.9;0.273;0.097;0.526;0.493;14.6;33.8;0.192;0.482;15.3;70.8;0.225;18,556;ECSF;1;2;3
8;Utah Jazz*;29.4;53;29;53;29;4.22;-0.12;4.1;108.6;104.1;4.5;93.1;0.354;0.083;0.537;0.49;13.3;31.3;0.262;0.469;14.6;68.4;0.267;19,866;WCF;2;0;2
9;Orlando Magic*;25.8;50;32;52;30;3.89;-0.21;3.68;110.8;106.7;4.1;95.2;0.341;0.165;0.547;0.514;14.4;33.8;0.231;0.479;13.3;66.3;0.214;15,291;ECFR;0;0;1
10;Golden State Warriors*;25;50;32;46;36;1.74;0.01;1.76;108.3;106.5;1.8;99.1;0.322;0.12;0.542;0.512;14.9;32.9;0.214;0.488;14.7;64.4;0.21;15,025;WCFR;1;1;1
11;Indiana Pacers*;27.2;47;35;51;31;3.45;-0.19;3.26;107.8;104.2;3.6;93.3;0.366;0.077;0.547;0.5;16;34.4;0.27;0.471;14.9;68;0.267;13,264;ECF;0;0;0
12;Cleveland Cavaliers*;27.9;47;35;52;30;4.02;-0.39;3.64;109.4;105.1;4.3;91.7;0.335;0.121;0.537;0.487;12.8;31.8;0.258;0.484;14.5;69;0.215;18,383;ECFR;0;0;1
13;Portland Trail Blazers*;28.6;47;35;48;34;2.63;-0.04;2.6;108.1;105.5;2.6;98.8;0.323;0.104;0.518;0.472;12.5;34.4;0.24;0.49;14.8;70.8;0.235;12,888;WCFR;0;0;2
14;New Jersey Nets*;26.6;45;37;47;35;2.2;-0.08;2.11;107.2;104.9;2.3;95.5;0.351;0.096;0.515;0.461;12.7;34;0.267;0.475;13.5;69.1;0.212;16,056;ECFR;0;0;2
15;Miami Heat*;26;42;40;48;34;2.67;-0.27;2.4;109.5;106.7;2.8;93.8;0.322;0.145;0.538;0.488;14.3;35.3;0.253;0.479;14.5;69.1;0.284;15,055;ECFR;0;0;0
16;Denver Nuggets*;24.8;42;40;45;37;1.49;0.05;1.54;103.9;102.3;1.6;96.1;0.357;0.088;0.524;0.478;15.3;32.2;0.256;0.453;13.4;69.6;0.252;16,433;WCSF;0;0;0
17;Charlotte Hornets;27.6;41;41;40;42;-0.22;-0.01;-0.23;108.4;108.6;-0.2;97.5;0.301;0.129;0.543;0.5;13.6;29.2;0.23;0.492;13.2;67;0.205;23,698;NP;0;0;1
18;Los Angeles Lakers;26.5;33;49;29;53;-4.29;0.36;-3.93;104.8;109.3;-4.5;95.5;0.269;0.11;0.503;0.466;12.8;33.2;0.193;0.492;14.3;63.2;0.24;13,315;NP;0;0;0
19;Boston Celtics;27.8;32;50;29;53;-4.28;0.01;-4.28;104.2;108.7;-4.5;95.6;0.284;0.068;0.521;0.482;13.5;29.3;0.207;0.494;13.7;67.8;0.238;14,890;NP;0;0;0
20;Sacramento Kings;26.7;28;54;26;56;-5.77;0.44;-5.32;103.3;109.2;-5.9;97.5;0.326;0.104;0.516;0.471;14.2;30.4;0.239;0.499;14.2;66.4;0.252;17,329;NP;1;0;1
21;Los Angeles Clippers;27;27;55;26;56;-5.72;0.44;-5.28;102.9;108.6;-5.7;99.6;0.297;0.116;0.521;0.484;15.4;30.4;0.211;0.494;14;64.1;0.213;11,390;NP;0;0;1
22;Philadelphia 76ers;27.2;25;57;21;61;-7.62;0.25;-7.37;101.7;109.7;-8;95.7;0.31;0.138;0.518;0.478;15;28;0.221;0.502;12.8;66.6;0.177;12,425;NP;0;0;0
23;Washington Bullets;25.8;24;58;22;60;-7.38;0.25;-7.13;104.5;112.2;-7.7;95.9;0.317;0.109;0.529;0.484;15.3;31.2;0.237;0.526;14;66.2;0.206;15,371;NP;0;0;0
24;Milwaukee Bucks;26.1;20;62;24;58;-6.48;0.24;-6.24;102.5;109.3;-6.8;94.5;0.32;0.15;0.512;0.471;14.7;31.1;0.225;0.513;15.7;66.5;0.254;15,482;NP;0;0;0
25;Minnesota Timberwolves;26.2;20;62;23;59;-6.93;0.38;-6.55;101.9;109.2;-7.3;94.7;0.352;0.085;0.525;0.471;16.4;30.1;0.272;0.488;12.8;68;0.259;17,888;NP;0;0;0
26;Detroit Pistons;27.5;20;62;21;61;-7.78;0.33;-7.46;102.7;110.9;-8.2;94.2;0.244;0.148;0.511;0.477;13.7;28.4;0.179;0.493;12.8;66.1;0.262;19,674;NP;0;1;0
27;Dallas Mavericks;25.3;13;69;19;63;-8.7;0.5;-8.19;100.4;109.6;-9.2;94.5;0.275;0.109;0.492;0.449;15;33.7;0.205;0.513;15.8;66.1;0.283;12,839;NP;0;0;0
