Rk;Team;Age;W;L;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;OffeFG%;OffTOV%;OffORB%;OffFT/FGA;DefeFG%;DefTOV%;DefDRB%;DefFT/FGA;Attend./G;Rounds;ANBAT;ANBADT;AS
1;Golden State Warriors*;28.2;67;15;67;15;11.63;-0.28;11.35;115.6;104;11.6;99.8;0.259;0.359;0.597;0.563;13.2;22.8;0.204;0.486;13.5;74.9;0.198;19,596;CHAMPS;2;1;4
2;San Antonio Spurs*;29.6;61;21;60;22;7.2;-0.06;7.13;111.1;103.5;7.6;94.2;0.263;0.281;0.564;0.524;12.6;24;0.21;0.492;13.5;77.6;0.192;18,423;WCF;1;2;1
3;Houston Rockets*;27.4;55;27;55;27;5.77;0.08;5.84;114.7;109;5.7;100;0.304;0.462;0.583;0.545;13.3;24.6;0.233;0.519;13.2;75.8;0.194;16,973;WCSF;1;1;1
4;Boston Celtics*;25.9;53;29;48;34;2.63;-0.39;2.25;111.2;108.4;2.8;96.8;0.273;0.393;0.567;0.525;12.2;21.2;0.22;0.503;12.6;75.3;0.223;18,553;ECF;1;0;1
5;Toronto Raptors*;26.1;51;31;52;30;4.21;-0.56;3.65;112.3;107.8;4.5;94.7;0.293;0.289;0.561;0.517;11.8;25;0.233;0.507;13.5;76.3;0.223;19,830;ECSF;0;0;2
6;Los Angeles Clippers*;30;51;31;52;30;4.29;0.13;4.42;112.7;108.2;4.5;96.1;0.312;0.329;0.574;0.537;12;21.5;0.233;0.506;12.1;76.9;0.211;19,088;WCFR;0;1;1
7;Utah Jazz*;26.8;51;31;52;30;3.94;0.06;4;109.6;105.3;4.3;91.6;0.288;0.327;0.563;0.526;13.2;23.2;0.215;0.493;11.8;78.9;0.195;19,662;WCSF;1;1;1
8;Cleveland Cavaliers*;29.2;51;31;49;33;3.18;-0.31;2.87;113.6;110.3;3.3;96.2;0.275;0.399;0.58;0.547;12.6;21.9;0.206;0.516;11.4;75.8;0.174;20,562;FINALS;1;0;3
9;Washington Wizards*;26;49;33;46;36;1.8;-0.45;1.36;111.2;109.3;1.9;97.4;0.254;0.284;0.564;0.528;12.8;24.1;0.199;0.524;13.8;75.5;0.213;17,003;ECSF;0;0;1
10;Oklahoma City Thunder*;24.7;47;35;43;39;0.76;0.39;1.14;108.3;107.5;0.8;97.8;0.295;0.295;0.54;0.5;13.2;27.9;0.22;0.511;12.5;79;0.218;18,203;WCFR;1;1;1
11;Memphis Grizzlies*;29.5;43;39;42;40;0.49;0.47;0.96;107.7;107.1;0.6;92.3;0.28;0.316;0.535;0.491;12.1;24.8;0.219;0.506;13.6;77.5;0.256;16,520;WCFR;0;1;1
12;Atlanta Hawks*;27.9;43;39;39;43;-0.85;-0.38;-1.23;104.9;105.7;-0.8;97.4;0.295;0.309;0.541;0.504;14.2;23.6;0.215;0.507;13.8;76.1;0.179;15,959;ECFR;0;0;1
13;Indiana Pacers*;27;42;40;40;42;-0.22;-0.42;-0.64;108.6;108.8;-0.2;95.9;0.261;0.272;0.558;0.516;12.8;21.2;0.212;0.512;13.6;75.5;0.225;16,697;ECFR;0;0;1
14;Milwaukee Bucks*;25.6;42;40;40;42;-0.18;-0.26;-0.45;109.1;109.3;-0.2;94.5;0.274;0.29;0.565;0.527;13.2;21.5;0.21;0.518;13.6;75.4;0.215;15,828;ECFR;1;1;1
15;Miami Heat;26.5;41;41;44;38;1.06;-0.29;0.77;107.8;106.7;1.1;95.2;0.251;0.314;0.541;0.512;12.4;24.2;0.177;0.496;12.6;76.4;0.22;19,644;ECFR;0;0;0
16;Chicago Bulls*;26.9;41;41;42;40;0.43;-0.39;0.03;107.4;107;0.4;95.3;0.259;0.256;0.53;0.487;12.3;27;0.206;0.507;12.4;76.8;0.169;21,680;ECFR;0;0;1
17;Portland Trail Blazers*;24.8;41;41;40;42;-0.52;0.3;-0.23;110.3;110.8;-0.5;96.7;0.275;0.322;0.559;0.52;12.5;23;0.214;0.508;11.6;76.8;0.241;19,318;WCFR;0;0;0
18;Denver Nuggets;25.2;40;42;42;40;0.51;0.19;0.7;113.2;112.7;0.5;98.3;0.276;0.329;0.568;0.53;13.2;27.3;0.214;0.532;10.9;78.7;0.194;14,672;NP;0;0;0
19;Detroit Pistons;25.4;37;45;38;44;-1.12;-0.17;-1.29;106;107.1;-1.1;95;0.218;0.263;0.521;0.492;10.9;24.1;0.157;0.516;12.1;81.2;0.197;15,979;NP;0;0;0
20;Charlotte Hornets;26.5;36;46;42;40;0.2;-0.26;-0.07;108.8;108.6;0.2;95.7;0.279;0.335;0.547;0.501;10.7;19.9;0.227;0.523;12.1;79.6;0.164;17,333;NP;0;0;1
21;New Orleans Pelicans;25.7;34;48;35;47;-2.1;0.41;-1.69;105.2;107.4;-2.2;98;0.256;0.308;0.539;0.504;11.7;18.5;0.192;0.509;12.4;76.8;0.177;16,173;NP;1;1;1
