Rk;Team;Age;W;L;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;OffeFG%;OffTOV%;OffORB%;OffFT/FGA;DefeFG%;DefTOV%;DefDRB%;DefFT/FGA;Attend./G;Rounds;ANBAT;ANBADT;AS
1;Chicago Bulls*;27.1;62;20;63;19;8.18;-0.76;7.43;107.4;98.3;9.1;89.1;0.255;0.205;0.523;0.49;13.2;32.6;0.184;0.45;12.8;74.3;0.175;22,161;ECFR;0;1;2
2;San Antonio Spurs*;27.5;62;20;60;22;7.17;0.11;7.28;110.9;103.2;7.7;92.9;0.261;0.257;0.562;0.528;12.8;25.1;0.195;0.489;12.9;76;0.168;18,397;WCF;1;0;1
3;Oklahoma City Thunder*;25.1;58;24;57;25;6.12;0.32;6.44;109.8;103.2;6.6;93;0.334;0.252;0.567;0.516;15.3;27.8;0.269;0.465;13;72.1;0.207;18,203;FINALS;2;1;2
4;Miami Heat*;28.3;57;25;58;24;5.98;-0.27;5.72;106.6;100.2;6.4;91.2;0.307;0.198;0.549;0.505;14.5;26.6;0.238;0.479;15.8;73.9;0.2;19,935;CHAMPS;1;1;3
5;Indiana Pacers*;26.3;52;30;51;31;3.3;-0.71;2.6;106.7;103.1;3.6;90.7;0.321;0.198;0.526;0.474;13.1;29.2;0.251;0.476;14.1;72.3;0.222;14,169;ECSF;0;0;1
6;Memphis Grizzlies*;25.6;51;31;47;35;2.02;0.42;2.43;104;101.8;2.2;90.8;0.277;0.157;0.515;0.473;13.6;29.8;0.211;0.485;16.3;72.7;0.227;15,710;WCFR;0;1;1
7;Los Angeles Lakers*;29.7;51;31;45;37;1.42;0.54;1.96;106;104.4;1.6;90.5;0.299;0.209;0.534;0.491;14.2;29.1;0.226;0.476;10.7;74.8;0.158;18,997;WCSF;2;1;2
8;Atlanta Hawks*;27.9;50;32;51;31;3.44;-0.77;2.67;104.9;101.2;3.7;90.2;0.259;0.249;0.535;0.5;13.4;23.9;0.192;0.48;14.4;74.4;0.186;15,200;ECFR;0;0;1
9;Los Angeles Clippers*;27.3;50;32;48;34;2.56;0.26;2.82;108.5;105.7;2.8;89.2;0.287;0.269;0.533;0.502;12.7;29.5;0.195;0.492;14.2;73.2;0.245;19,219;WCSF;2;1;2
10;Boston Celtics*;29.3;49;33;48;34;2.52;-0.26;2.26;101;98.2;2.8;90.4;0.257;0.194;0.535;0.496;14.7;19.7;0.2;0.452;14.9;72.4;0.216;18,624;ECF;0;2;2
11;Denver Nuggets*;26.6;47;35;48;34;2.88;0.29;3.16;109.2;106.2;3;94.2;0.326;0.243;0.556;0.516;14.1;27.7;0.239;0.508;14.3;74.3;0.185;17,029;WCFR;0;0;0
12;Orlando Magic*;27.5;47;35;43;39;0.79;-0.33;0.46;105;104.1;0.9;89;0.292;0.346;0.533;0.506;14.5;26.5;0.193;0.488;12.9;75.5;0.19;18,897;ECFR;1;1;1
