Rk;Team;Age;W;L;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;OffeFG%;OffTOV%;OffORB%;OffFT/FGA;DefeFG%;DefTOV%;DefDRB%;DefFT/FGA;Attend./G;Rounds;ANBAT;ANBADT;AS
13;New York Knicks*;26.3;45;37;51;31;3.2;-0.81;2.39;104.4;101;3.4;93.2;0.306;0.288;0.533;0.492;14.9;26.6;0.227;0.485;15.9;73.7;0.224;19,763;ECFR;0;1;1
14;Dallas Mavericks*;31.3;45;37;43;39;0.95;0.83;1.78;103.3;102.3;1;91.4;0.246;0.271;0.527;0.489;13.4;23.4;0.19;0.479;13.9;74.8;0.203;20,335;WCFR;0;0;1
15;Utah Jazz*;25.6;45;37;42;40;0.62;0.3;0.92;106.8;106.1;0.7;91.4;0.302;0.153;0.525;0.481;13;30.2;0.227;0.493;13.8;73.8;0.245;19,307;WCFR;0;0;0
16;Philadelphia 76ers*;24.9;43;39;53;29;4.24;-0.65;3.59;103.9;99.2;4.7;89.7;0.217;0.175;0.511;0.48;10.9;24.4;0.161;0.46;13.5;75.2;0.192;17,503;ECSF;0;0;1
17;Houston Rockets;26.2;42;40;42;40;0.23;0.35;0.57;105.5;105.2;0.3;91.7;0.235;0.24;0.529;0.492;13.5;27.5;0.184;0.49;13.8;73.4;0.21;15,363;NP;0;0;0
18;Phoenix Suns;28.9;41;41;40;42;-0.24;0.53;0.29;106.2;106.5;-0.3;92.6;0.257;0.238;0.536;0.499;13.3;25.8;0.194;0.491;13.1;71.7;0.2;15,598;NP;0;0;1
19;Milwaukee Bucks;26.2;39;43;42;40;0.27;-0.5;-0.23;105.5;105.2;0.3;93.7;0.25;0.224;0.521;0.481;12.9;27.7;0.194;0.489;14.6;70.9;0.217;14,719;NP;0;0;0
20;Portland Trail Blazers;27.5;35;47;40;42;-0.62;0.41;-0.22;105.7;106.4;-0.7;91.2;0.263;0.255;0.531;0.488;13.4;26.3;0.209;0.504;14.1;72.8;0.199;20,496;NP;0;0;1
21;Minnesota Timberwolves;24.4;32;50;35;47;-2.2;0.37;-1.83;104.3;106.6;-2.3;93.3;0.306;0.262;0.524;0.477;14;27.5;0.236;0.491;12.2;73;0.187;17,491;NP;1;0;1
22;Detroit Pistons;26.3;31;51;27;55;-4.79;-0.4;-5.19;101;106.3;-5.3;89.2;0.279;0.175;0.51;0.468;15;28.1;0.21;0.5;14.2;72.8;0.226;14,413;NP;0;0;0
23;Golden State Warriors;25.3;29;53;31;51;-3.41;0.62;-2.79;105.4;109.1;-3.7;92.3;0.227;0.248;0.539;0.505;13.3;22.9;0.175;0.496;13.6;69.1;0.237;18,858;NP;0;0;0
24;Toronto Raptors;25.7;29;53;31;51;-3.3;-0.36;-3.67;100.8;104.5;-3.7;89.3;0.274;0.209;0.518;0.475;14.8;25.9;0.211;0.475;12.8;75.4;0.26;16,836;NP;0;0;0
25;Sacramento Kings;24.3;27;55;26;56;-5.68;0.73;-4.95;103.8;109.8;-6;94.7;0.268;0.228;0.51;0.472;13;29.1;0.197;0.515;13.9;70.5;0.199;14,508;NP;0;0;0
26;New Jersey Nets;26.1;27;55;24;58;-5.98;-0.39;-6.37;102.9;109.6;-6.7;90.1;0.269;0.278;0.516;0.473;14.3;27.8;0.209;0.513;13.7;70.7;0.209;13,961;NP;0;0;1
27;New Orleans Hornets;25.5;26;56;30;52;-3.76;0.65;-3.11;100.9;105.1;-4.2;88.3;0.274;0.152;0.517;0.476;15.2;27.5;0.207;0.485;13.5;73.1;0.218;15,110;NP;0;0;0
28;Cleveland Cavaliers;26;26;56;21;61;-7.2;-0.14;-7.34;101.1;108.9;-7.8;91.3;0.307;0.238;0.505;0.463;14.3;28.9;0.22;0.508;13.1;72.2;0.202;15,927;NP;0;0;0
29;Washington Wizards;24.2;25;57;27;55;-4.8;-0.34;-5.14;101;106.2;-5.2;92.5;0.253;0.196;0.508;0.472;14.2;27.3;0.184;0.492;14.2;70.9;0.229;16,728;NP;0;0;0
30;Charlotte Bobcats;24.5;9;73;9;73;-13.91;-0.05;-13.96;95.2;110.4;-15.2;91.1;0.276;0.169;0.483;0.439;13.9;23.6;0.206;0.512;12.8;70.9;0.206;14,757;NP;0;0;0
