Rk;Team;Age;W;L;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;OffeFG%;OffTOV%;OffORB%;OffFT/FGA;DefeFG%;DefTOV%;DefDRB%;DefFT/FGA;Attend./G;Rounds;ANBAT;ANBADT;AS
1;Boston Celtics*;28;62;20;57;25;6.56;-0.14;6.42;110.9;104.4;6.5;99.7;0.333;0.032;0.554;0.504;14.6;34.2;0.264;0.475;13.8;69.7;0.225;14,890;CHAMPS;1;2;3
2;Los Angeles Lakers*;27.5;54;28;50;32;3.76;-0.44;3.32;110.9;107.3;3.6;103.7;0.313;0.031;0.574;0.536;16.1;33.7;0.236;0.487;14.3;66.6;0.232;15,181;FINALS;2;2;2
3;Philadelphia 76ers*;27.7;52;30;47;35;2.2;0.2;2.39;106.8;104.6;2.2;99.6;0.396;0.016;0.551;0.497;16.9;34.6;0.299;0.484;16;65.9;0.246;14,345;ECFR;2;2;3
4;Milwaukee Bucks*;28.4;50;32;52;30;4.16;-0.12;4.04;107.8;103.6;4.2;96.9;0.338;0.033;0.541;0.497;15;33.7;0.25;0.459;14.7;65.6;0.266;9,593;ECF;1;1;1
5;Detroit Pistons*;25.4;49;33;50;32;3.59;-0.06;3.52;111.5;108.1;3.4;103.8;0.322;0.018;0.532;0.482;12.7;36.7;0.25;0.5;14.8;67.7;0.263;15,924;ECFR;1;0;3
6;Portland Trail Blazers*;25.8;48;34;50;32;3.55;-0.42;3.13;111.2;107.7;3.5;101.1;0.367;0.018;0.556;0.507;15.1;36.4;0.277;0.518;17;67.4;0.259;12,642;WCFR;1;0;1
7;New York Knicks*;27.2;47;35;51;31;3.84;-0.05;3.79;107;103.1;3.9;99;0.367;0.024;0.552;0.499;16.7;33.4;0.284;0.491;17.8;68.1;0.281;12,100;ECSF;1;0;1
8;New Jersey Nets*;25.5;45;37;44;38;1.1;0.17;1.27;106.1;105;1.1;103;0.343;0.032;0.54;0.501;16.1;34.6;0.24;0.494;17;67.8;0.292;12,182;ECSF;0;0;1
9;Utah Jazz*;26.9;45;37;44;38;1.13;-0.32;0.81;109;108;1;104.9;0.374;0.044;0.559;0.505;15.2;30.8;0.292;0.479;13.9;63.4;0.229;10,347;WCSF;1;0;2
10;Dallas Mavericks*;24.7;43;39;42;40;0.43;-0.27;0.15;110;109.6;0.4;99;0.325;0.025;0.547;0.503;13.6;31.7;0.245;0.503;14.4;65.7;0.232;13,126;WCSF;0;0;1
11;Seattle SuperSonics*;27.1;42;40;41;41;-0.17;-0.17;-0.34;107.9;108.1;-0.2;99.7;0.347;0.02;0.543;0.49;14.3;30.7;0.271;0.492;13.8;66.6;0.226;;WCFR;0;0;1
12;Phoenix Suns*;27.2;41;41;43;39;0.89;-0.24;0.65;108.9;108;0.9;101.4;0.305;0.04;0.556;0.514;15.1;31.4;0.232;0.501;15.3;68.3;0.277;10,873;WCF;0;0;1
13;Atlanta Hawks*;26.6;40;42;37;45;-1.29;0.22;-1.08;105.5;106.9;-1.4;95.3;0.355;0.016;0.529;0.476;14.4;31.6;0.27;0.482;15.1;65.2;0.268;6,977;ECFR;0;2;0
14;Denver Nuggets*;27;38;44;38;44;-1.1;-0.17;-1.27;111.3;112.3;-1;110.5;0.337;0.032;0.553;0.498;12.8;29.3;0.276;0.522;14.6;66.6;0.277;11,278;WCFR;0;1;2
15;Kansas City Kings*;26.2;38;44;37;45;-1.48;-0.15;-1.62;106.5;108;-1.5;102.9;0.345;0.026;0.542;0.49;15.3;32.4;0.268;0.505;16.1;66.9;0.266;9,031;WCFR;0;0;0
16;San Antonio Spurs;27.4;37;45;40;42;-0.27;-0.23;-0.5;111.2;111.4;-0.2;106.5;0.337;0.034;0.556;0.511;14;33.4;0.255;0.508;13.7;66.2;0.233;9,168;NP;0;0;1
17;Golden State Warriors;25.6;37;45;32;50;-3.4;0.05;-3.35;105.5;108.8;-3.3;103.3;0.342;0.03;0.52;0.471;14.9;35.6;0.254;0.519;17;64.2;0.25;7,728;NP;0;0;0
18;Washington Bullets*;26.2;35;47;33;49;-2.89;0.53;-2.36;104.2;107.2;-3;97.4;0.319;0.041;0.535;0.489;15.5;30.1;0.241;0.492;13.7;69.7;0.239;7,743;ECFR;0;0;1
19;San Diego Clippers;25.5;30;52;33;49;-3.26;0.04;-3.21;109.2;112.4;-3.2;101.1;0.331;0.017;0.541;0.498;15.3;37.7;0.244;0.513;12.9;68.2;0.236;5,330;NP;0;0;0
20;Houston Rockets;26.8;29;53;33;49;-3.09;-0.04;-3.12;105.3;108.2;-2.9;104.7;0.284;0.02;0.535;0.497;15.6;32.8;0.21;0.486;14.1;67.5;0.285;10,384;NP;0;0;1
21;Cleveland Cavaliers;25.4;28;54;30;52;-4.26;0.55;-3.71;104.1;108.5;-4.4;97.4;0.301;0.023;0.512;0.468;14;33.5;0.224;0.49;13.2;70.8;0.28;5,075;NP;0;0;0
22;Chicago Bulls;24.4;27;55;28;54;-5.18;0.5;-4.69;102.4;107.5;-5.1;99.8;0.36;0.017;0.526;0.475;16.3;32.3;0.268;0.497;15.6;67.2;0.266;6,254;NP;0;0;0
23;Indiana Pacers;24.4;26;56;28;54;-4.82;0.57;-4.25;101.8;106.5;-4.7;102.1;0.297;0.029;0.531;0.487;15.9;28.1;0.228;0.497;16.2;66.8;0.255;10,015;NP;0;0;0
