Rk;Team;Age;W;L;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;OffeFG%;OffTOV%;OffORB%;OffFT/FGA;DefeFG%;DefTOV%;DefDRB%;DefFT/FGA;Attend./G;Rounds;ANBAT;ANBADT;AS
1;Boston Celtics*;27.3;63;19;57;25;6.38;-0.03;6.35;109.8;103.5;6.3;101.5;0.335;0.025;0.545;0.502;14.7;35.8;0.248;0.472;14.6;67.6;0.22;15,057;ECF;2;1;3
2;Philadelphia 76ers*;28.1;58;24;56;26;5.73;0;5.74;109.6;103.9;5.7;100.6;0.354;0.02;0.566;0.521;15.5;30.5;0.265;0.48;16.5;65;0.261;12,168;FINALS;1;2;2
3;Los Angeles Lakers*;26.8;57;25;53;29;4.87;-0.5;4.37;110.2;105.5;4.7;103.1;0.285;0.012;0.551;0.518;14.7;35.8;0.204;0.493;14.8;66.3;0.187;14,762;CHAMPS;1;1;3
4;Milwaukee Bucks*;27.3;55;27;55;27;5.48;-0.1;5.38;107.7;102.3;5.4;100;0.332;0.023;0.553;0.509;16.5;35.1;0.25;0.471;15.9;67.3;0.253;10,812;ECSF;1;2;2
5;Seattle SuperSonics*;26.4;52;30;52;30;4.13;-0.45;3.69;106.4;102.3;4.1;100;0.329;0.021;0.535;0.491;14.1;31.3;0.243;0.464;14.4;67.2;0.214;;WCSF;1;2;3
6;San Antonio Spurs*;26.1;48;34;47;35;2.3;-0.52;1.79;109.9;107.6;2.3;102.5;0.307;0.033;0.537;0.49;13;34;0.238;0.487;13.7;68.8;0.256;10,592;WCF;1;0;1
7;Phoenix Suns*;26.4;46;36;50;32;3.45;-0.4;3.05;105.8;102.4;3.4;99.5;0.302;0.024;0.538;0.495;15.9;32.2;0.229;0.47;14.6;68.5;0.233;11,871;WCSF;0;1;1
8;Denver Nuggets*;27;46;36;42;40;0.52;-0.4;0.13;114.3;113.9;0.4;109.8;0.389;0.019;0.578;0.522;14.1;31.8;0.31;0.528;13.9;64.3;0.213;11,143;WCFR;1;0;1
9;Houston Rockets*;28.3;46;36;41;41;-0.04;-0.36;-0.39;108.3;108.3;0;97.2;0.302;0.024;0.52;0.479;13.7;37.8;0.22;0.5;14.3;66.1;0.209;11,713;WCFR;1;0;1
10;Golden State Warriors;25.1;45;37;44;38;1.04;-0.24;0.8;108.8;107.7;1.1;101.4;0.324;0.044;0.541;0.502;14.5;34.8;0.233;0.493;14.1;68.8;0.256;9,554;NP;1;0;1
11;New Jersey Nets*;25.1;44;38;43;39;0.68;0.18;0.87;103;102.3;0.7;103.1;0.326;0.02;0.529;0.487;16.6;33.7;0.237;0.486;18.3;67;0.281;13,676;ECFR;0;0;1
12;Washington Bullets*;26;43;39;43;39;0.88;0.19;1.06;103.3;102.5;0.8;99.4;0.294;0.033;0.524;0.478;14.7;29.4;0.227;0.468;13.9;69.9;0.228;9,266;ECSF;0;0;0
13;Portland Trail Blazers;24.7;42;40;43;39;0.6;-0.21;0.39;108.8;108.2;0.6;100.5;0.332;0.019;0.547;0.507;14.4;32.5;0.239;0.502;15;65.9;0.223;12,666;NP;0;0;0
14;Atlanta Hawks*;26.5;42;40;43;39;0.54;0.27;0.81;105.1;104.6;0.5;95.1;0.352;0.019;0.529;0.476;14.6;32.2;0.271;0.473;15.6;67.6;0.282;7,673;ECFR;0;1;1
15;Detroit Pistons;24.4;39;43;39;43;-0.91;0.28;-0.63;105.8;106.6;-0.8;104.3;0.349;0.029;0.534;0.485;16;34.8;0.262;0.512;16.4;66.9;0.224;9,908;NP;0;0;2
16;Indiana Pacers;27;35;47;36;46;-1.87;0.38;-1.49;102.7;104.6;-1.9;98.7;0.304;0.044;0.516;0.472;14.6;30.5;0.225;0.494;15.9;66.3;0.221;7,552;NP;0;0;0
17;Chicago Bulls;26.5;34;48;36;46;-2.02;0.45;-1.57;106.6;108.6;-2;99;0.378;0.032;0.557;0.505;17.3;33.6;0.29;0.499;13.2;69;0.207;9,088;NP;0;0;1
18;New York Knicks;28;33;49;34;48;-2.67;0.52;-2.15;106;108.6;-2.6;99.5;0.302;0.03;0.535;0.495;15.4;33.1;0.223;0.508;15.4;66.9;0.255;11,003;NP;0;0;1
19;Kansas City Kings;24;30;52;33;49;-3.1;-0.15;-3.25;104.2;107.2;-3;101.8;0.296;0.018;0.533;0.497;15.5;29.9;0.213;0.504;16.5;66;0.287;7,455;NP;0;0;0
20;Dallas Mavericks;24.4;28;54;29;53;-4.43;-0.06;-4.48;105.9;110.4;-4.5;98.5;0.328;0.026;0.519;0.473;13.7;33.9;0.241;0.51;14.5;66.8;0.266;9,280;NP;0;0;0
21;Utah Jazz;24.9;25;57;27;55;-5.66;0.03;-5.63;106.2;111.7;-5.5;103.9;0.306;0.013;0.538;0.496;14.5;30.6;0.23;0.513;14.1;65.3;0.244;7,353;NP;0;0;1
22;San Diego Clippers;25.4;17;65;23;59;-7.39;0.34;-7.05;106.6;113.8;-7.2;101.4;0.33;0.048;0.547;0.507;16.2;33.2;0.238;0.529;13.9;68;0.28;5,489;NP;0;0;0
23;Cleveland Cavaliers;26.1;15;67;20;62;-8.51;0.74;-7.77;103.3;111.8;-8.5;99.3;0.297;0.019;0.51;0.466;13.7;32;0.222;0.515;14.7;65.9;0.271;5,742;NP;0;0;0
