Rk;Team;Age;W;L;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;OffeFG%;OffTOV%;OffORB%;OffFT/FGA;DefeFG%;DefTOV%;DefDRB%;DefFT/FGA;Attend./G;Rounds;ANBAT;ANBADT;AS
1;San Antonio Spurs*;30.1;61;21;64;18;8.06;-0.94;7.12;104;95;9;88.6;0.371;0.137;0.523;0.479;14.6;30.4;0.259;0.423;13.8;69.5;0.198;21,094;CHAMPS;1;1;
2;Utah Jazz*;30.3;61;21;61;21;6.52;-0.99;5.54;105.8;98.4;7.4;87;0.417;0.107;0.545;0.485;16;30;0.32;0.441;14.4;70.4;0.242;19,725;WCSF;1;1;
3;Portland Trail Blazers*;27.4;57;25;59.04;22.96;6.36;-0.69;5.67;104.8;97.7;7.1;89.2;0.341;0.171;0.521;0.473;14.5;31.8;0.253;0.445;14.9;71.8;0.233;19,462;WCF;0;0;
4;Miami Heat*;30.3;54;28;57;25;4.96;0.15;5.11;104.7;98.9;5.8;84.8;0.354;0.226;0.54;0.494;15.3;27.3;0.26;0.439;13.6;71;0.226;15,153;ECFR;2;2;
5;Indiana Pacers*;30.8;54;28;52;30;3.74;0.12;3.86;108.7;104.4;4.3;86.4;0.318;0.207;0.537;0.486;12.8;28.7;0.253;0.46;12.7;69.9;0.236;16,181;ECF;0;0;
6;Orlando Magic*;28.7;54;28;49;33;2.6;0.51;3.11;100.3;97.4;2.9;88.8;0.318;0.171;0.498;0.456;15.4;32.6;0.222;0.473;16.7;70.8;0.181;16,444;ECFR;0;0;
7;Atlanta Hawks*;29.6;51;31;51;31;2.9;-0.08;2.82;100.5;97.1;3.4;85.3;0.378;0.171;0.492;0.436;14.5;33.1;0.277;0.437;13.4;72.1;0.202;17,131;ECSF;0;2;
8;Los Angeles Lakers*;27.5;51;31;49;33;3.02;-0.35;2.68;107.6;104.3;3.3;91.6;0.382;0.174;0.538;0.498;14.1;30.6;0.261;0.468;13.3;70.2;0.267;17,200;WCSF;1;0;
9;Houston Rockets*;29.6;51;31;48;34;2.32;-0.93;1.39;105.4;102.9;2.5;88.8;0.313;0.241;0.545;0.506;15.8;27.8;0.228;0.461;12.4;69.9;0.188;16,285;WCFR;0;1;
10;Detroit Pistons*;27.7;48;34;52;30;3.42;0.55;3.97;104.2;100.3;3.9;86.3;0.345;0.183;0.528;0.48;15.6;30.5;0.256;0.468;15.4;72;0.259;17,783;ECFR;1;0;
11;Philadelphia 76ers*;26;46;36;48;34;2.06;0.5;2.56;99.9;97.6;2.3;88.6;0.383;0.096;0.494;0.439;15.3;34.2;0.276;0.454;17.1;69.8;0.249;17,458;ECSF;1;1;
12;Milwaukee Bucks*;28.3;46;36;46;36;1.66;0;1.66;104.9;103;1.9;87;0.303;0.162;0.53;0.489;14.3;29;0.222;0.463;16;67.6;0.275;15,278;ECFR;0;0;
13;Phoenix Suns*;29.3;44;38;48;34;2.26;-0.11;2.15;105.8;103.3;2.5;90;0.303;0.175;0.526;0.481;13;28.4;0.231;0.485;15.4;69.8;0.216;18,891;WCFR;1;1;
14;New York Knicks*;29;44;38;44;38;1.02;0.43;1.45;98.6;97.5;1.1;86.9;0.329;0.159;0.509;0.463;15.9;27.9;0.241;0.434;14.9;71;0.258;19,763;FINALS;0;0;
15;Sacramento Kings*;26.1;44;38;39;43;-0.42;-0.47;-0.89;102.7;103.1;-0.4;96;0.3;0.219;0.514;0.479;14.7;30.6;0.205;0.471;13.7;67.7;0.176;16,750;WCFR;1;0;
16;Charlotte Hornets;29;43;39;41;41;-0.1;0.73;0.63;102.3;102.4;-0.1;89.7;0.372;0.198;0.537;0.485;15.5;24.4;0.278;0.461;14.3;69.5;0.24;19,232;NP;0;1;
17;Minnesota Timberwolves*;27.2;41;41;43;39;0.38;-0.55;-0.17;101.9;101.5;0.4;91;0.264;0.095;0.481;0.439;11.7;32.5;0.196;0.467;15.8;70.2;0.276;17,119;WCFR;0;0;
18;Seattle SuperSonics;31.2;41;41;38;44;-1.08;-0.35;-1.43;105;106.2;-1.2;89.6;0.341;0.226;0.519;0.481;14.3;31.9;0.232;0.489;14.1;68.6;0.213;17,072;NP;1;1;
19;Toronto Raptors;27.3;38;44;36;46;-1.64;0.33;-1.32;102;103.9;-1.9;88.8;0.338;0.168;0.504;0.45;15;33.8;0.257;0.473;14.8;70.2;0.258;17,974;NP;0;0;
20;Cleveland Cavaliers;26.7;36;46;36;46;-1.72;0.78;-0.94;99.6;101.6;-2;86.4;0.381;0.15;0.52;0.464;15.9;25.1;0.285;0.468;16.2;69;0.267;14,120;NP;0;0;
21;Golden State Warriors;28.1;34;48;33;49;-2.5;-0.13;-2.63;98.4;101.1;-2.7;88.9;0.282;0.135;0.471;0.434;14.1;35.2;0.19;0.445;14;70.4;0.29;13,433;NP;0;0;
22;Boston Celtics;24.3;31;51;36;46;-1.86;0.11;-1.75;100.4;102.4;-2;91.5;0.259;0.182;0.501;0.469;14.8;30.6;0.179;0.465;15.6;69.4;0.287;17,624;NP;0;0;
23;Dallas Mavericks;26.1;31;51;34;48;-2.4;-0.1;-2.5;102.3;104.9;-2.6;89;0.3;0.148;0.502;0.459;13.2;29.8;0.218;0.476;13.3;69.1;0.212;14,513;NP;0;0;
24;Washington Wizards;29.3;30;52;34;48;-2.24;0.49;-1.75;101.2;103.7;-2.5;89.8;0.302;0.146;0.507;0.468;14.1;28.2;0.213;0.474;15.1;69.5;0.273;16,099;NP;0;0;
