Rk;Team;Age;W;L;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;OffeFG%;OffTOV%;OffORB%;OffFT/FGA;DefeFG%;DefTOV%;DefDRB%;DefFT/FGA;Attend./G;Rounds;ANBAT;ANBADT;AS
1;Milwaukee Bucks*;29.2;64;18;65;17;10.08;-0.67;9.41;112.4;102.9;9.5;105.1;0.271;0.428;0.583;0.552;12.9;20.7;0.201;0.489;12;81.6;0.178;17,711;ECSF;1;3;2
2;Toronto Raptors*;26.6;60;22;57;25;6.24;-0.26;5.97;111.1;105;6.1;100.9;0.264;0.421;0.574;0.536;13.1;21.3;0.21;0.502;14.6;76.7;0.202;19,796;ECSF;1;0;2
3;Los Angeles Lakers*;29.5;59;23;55;27;5.79;0.49;6.28;112;106.3;5.7;100.9;0.276;0.358;0.573;0.542;13.3;24.5;0.201;0.515;14.1;78.8;0.205;18,997;CHAMPS;2;1;2
4;Los Angeles Clippers*;27.4;56;26;57;25;6.44;0.21;6.66;113.9;107.6;6.3;101.5;0.295;0.375;0.577;0.535;12.6;23.5;0.233;0.506;12.2;77.6;0.206;19,068;WCSF;1;2;1
5;Boston Celtics*;25.3;55;27;57;25;6.31;-0.47;5.83;113.3;107;6.3;99.5;0.259;0.386;0.57;0.531;12.2;23.9;0.207;0.509;13.5;77.4;0.215;19,090;ECF;0;1;2
6;Denver Nuggets*;25.6;52;30;47;35;2.11;0.24;2.35;113.1;111;2.1;97.1;0.235;0.344;0.567;0.535;12.3;24.8;0.183;0.533;12.9;76.8;0.198;19,186;WCF;1;0;1
7;Indiana Pacers*;25.6;51;31;47;35;1.96;-0.33;1.63;110;108;2;98.9;0.216;0.317;0.565;0.534;12;20;0.17;0.511;13;76.7;0.192;16,531;ECFR;0;0;1
8;Miami Heat*;25.9;50;32;49;33;2.95;-0.35;2.59;112.5;109.5;3;98.3;0.299;0.419;0.587;0.547;13.5;20.3;0.234;0.523;12.6;79.5;0.213;19,680;FINALS;0;1;2
9;Houston Rockets*;29.2;50;32;48;34;2.96;0.17;3.13;112.9;110.1;2.8;103.7;0.288;0.501;0.578;0.537;12.6;21;0.228;0.529;13.7;75.6;0.197;18,077;WCSF;1;0;2
10;Utah Jazz*;27.3;50;32;48;34;2.47;0.05;2.52;112.3;109.9;2.4;98.6;0.268;0.414;0.585;0.549;13.7;21.6;0.208;0.518;11.1;78.9;0.185;18,306;WCFR;0;1;2
11;Oklahoma City Thunder*;25.5;50;32;47;35;1.99;0.34;2.33;110.8;108.8;2;98.8;0.29;0.353;0.573;0.53;12.4;19.3;0.231;0.518;12.6;76.8;0.173;18,203;WCFR;1;0;1
12;Dallas Mavericks*;26.1;49;33;56;26;4.95;-0.07;4.87;116.7;111.7;5;99.3;0.264;0.457;0.581;0.545;11.2;23.2;0.206;0.525;10.6;77.7;0.175;20,062;WCFR;1;0;1
13;Philadelphia 76ers*;26.3;49;33;48;34;2.38;-0.13;2.25;111.3;109;2.3;99;0.255;0.36;0.566;0.534;12.7;23.9;0.193;0.523;12.5;80.3;0.214;20,629;ECFR;0;1;2
14;Brooklyn Nets*;26.3;49;33;40;42;-0.57;-0.44;-1.01;108.9;109.5;-0.6;101.4;0.267;0.423;0.554;0.52;13.1;23.2;0.199;0.511;11;77.8;0.187;16,403;ECFR;0;0;0
15;Portland Trail Blazers*;27.5;40;42;39;43;-1.15;0.54;-0.61;113.7;114.8;-1.1;100.7;0.242;0.374;0.57;0.533;11.2;22.4;0.194;0.53;11.2;75.3;0.208;19,634;WCFR;1;0;1
16;Phoenix Suns;24.6;39;43;42;40;0.22;0.35;0.56;111.7;111.4;0.3;101.3;0.271;0.361;0.576;0.532;13;22.2;0.226;0.539;13.7;78.8;0.221;15,606;NP;0;0;1
17;Memphis Grizzlies;24.1;39;43;39;43;-1.07;0.16;-0.91;109.2;110.3;-1.1;102.8;0.24;0.346;0.561;0.528;13.2;23;0.183;0.521;12.7;77.8;0.217;15,857;NP;0;0;0
18;Orlando Magic*;26.1;38;44;39;43;-1.01;0.09;-0.93;108.5;109.5;-1;98.6;0.256;0.364;0.544;0.506;11.5;22.3;0.198;0.535;13.2;79.1;0.176;17,093;ECFR;0;0;0
19;San Antonio Spurs;27.6;36;46;38;44;-1.11;0.46;-0.65;112.4;113.5;-1.1;100.5;0.262;0.318;0.572;0.531;11.2;20.1;0.212;0.542;11.7;79.2;0.193;18,351;NP;0;0;0
20;Sacramento Kings;27;35;47;35;47;-2.04;0.46;-1.59;110.2;112.2;-2;98.9;0.23;0.395;0.566;0.534;13;21.9;0.177;0.543;13.6;78.4;0.225;16,796;NP;0;0;0
21;New Orleans Pelicans;25.4;34;48;38;44;-1.29;0.74;-0.55;110.7;111.9;-1.2;103.7;0.256;0.403;0.568;0.539;13.9;24.2;0.186;0.532;12.4;77.8;0.212;16,505;NP;0;0;1
22;Washington Wizards;25.1;28;54;30;52;-4.67;-0.57;-5.24;110.9;115.5;-4.6;102.7;0.27;0.358;0.562;0.523;12.2;22.2;0.213;0.558;13.9;75.3;0.231;16,647;NP;0;0;0
23;Charlotte Hornets;24.3;26;56;22;60;-6.75;-0.28;-7.03;106.3;113.3;-7;95.8;0.252;0.399;0.539;0.504;13.3;23.9;0.188;0.546;13.1;74.4;0.159;15,428;NP;0;0;0
24;Chicago Bulls;24.4;25;57;30;52;-3.08;-0.93;-4;106.7;109.8;-3.1;99.7;0.231;0.396;0.547;0.515;13.7;22.8;0.175;0.546;16.3;75.6;0.239;18,804;NP;0;0;0
25;New York Knicks;24.5;24;58;23;59;-6.45;-0.26;-6.72;106.5;113;-6.5;98.6;0.263;0.318;0.531;0.501;12.6;25.8;0.182;0.541;12.4;78.3;0.224;18,812;NP;0;0;0
26;Detroit Pistons;25.9;23;59;30;52;-3.56;-0.82;-4.38;109;112.7;-3.7;97.6;0.261;0.381;0.561;0.529;13.8;22.6;0.194;0.541;12.7;75.9;0.186;15,294;NP;0;0;0
27;Atlanta Hawks;24.1;23;59;21;61;-7.97;0.27;-7.71;107.2;114.8;-7.6;103;0.258;0.398;0.554;0.515;13.8;21.6;0.204;0.543;12.7;74.9;0.233;16,043;NP;0;0;1
28;Minnesota Timberwolves;24.8;22;60;27;55;-4.3;0.28;-4.02;108.1;112.2;-4.1;103.4;0.277;0.433;0.551;0.514;13;22.1;0.209;0.541;13.2;77.2;0.218;15,066;NP;0;0;0
29;Cleveland Cavaliers;25;22;60;21;61;-7.89;0.12;-7.77;107.5;115.4;-7.9;98.7;0.227;0.362;0.553;0.522;14.6;24.6;0.172;0.56;11.7;77.4;0.164;17,861;NP;0;0;0
30;Golden State Warriors;24.4;17;65;18;64;-8.71;0.59;-8.12;105.2;113.8;-8.6;100.3;0.264;0.355;0.54;0.497;13.2;21.5;0.212;0.553;13.7;76.4;0.193;18,064;NP;0;0;0
